# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0,2.0,0.0,0,3.0,0,0.0,0.0,0.22385804998612607
 0.0158717134742091,2.000377866932911,2.0,0.0,0.04761514042262731,3.0,0,0.0035530108282749717,0.0,1.1635269224314315
 0.025032198906685937,2.000939916473156,2.0,0.0,0.0750965967200578,2.999999999999999,0,0.014211482251502705,0.0,2.094457474078195
 0.033512795501181386,2.001684661193456,2.0,0.0,0.10053838650354416,3.0000000000000004,0,0.031973731173485787,0.0,3.030099111210683
 0.04171821078404783,2.0026106136665334,2.0,0.0,0.12515463235214352,3.0000000000000036,0,0.05683695272921396,0.0,3.967004197048531
 0.04977473566051367,2.003716286465111,2.0,0.0,0.14932420698154106,3.0000000000000018,0,0.08879722072777985,0.0,4.905200609821699
 0.057736136355604234,2.0050001921619094,2.0,0.0,0.17320840906681273,2.9999999999999982,0,0.12784948827237297,0.0,5.845189518546399
 0.06562948183883813,2.0064608433296516,2.0,0.0,0.1968884455165144,3.0,0,0.17398758855723728,0.0,6.78742366992948
 0.07346996003383016,2.008096752541059,2.0,0.0,0.2204098801014905,3.0,0,0.22720423584149219,0.0,7.732235986327529
 0.08126677208984238,2.0099064323688536,2.0,0.0,0.24380031626952717,2.9999999999999982,0,0.2874910265996222,0.0,8.67985357767414
 0.08902582166898515,2.011888395385757,2.0,0.0,0.2670774650069555,3.0000000000000053,0,0.3548384408484956,0.0,9.63042283537156
 0.09675106946692678,2.014041154164491,2.0,0.0,0.29025320840078045,3.0000000000000053,0,0.42923584365069656,0.0,10.584030785637315
 0.10444526885017924,2.0163632212777793,2.0,0.0,0.31333580655053783,3.0000000000000018,0,0.5106714867938722,0.0,11.540720991805372
 0.11211038993879051,2.0188531092983415,2.0,0.0,0.3363311698163717,3.0000000000000053,0,0.5991325106459383,0.0,12.500504966308611
 0.11974787624811475,2.0215093307989007,2.0,0.0,0.3592436287443444,2.9999999999999982,0,0.6946049461857601,0.0,13.463370304631708
 0.12735880640191108,2.024330398352179,2.0,0.0,0.3820764192057334,3.0,0,0.7970737172090075,0.0,14.429286511196711
 0.13494399957240877,2.0273148245308974,2.0,0.0,0.40483199871722647,3.0000000000000036,0,0.9065226427088913,0.0,15.398209213182703
 0.14250408627539626,2.0304611219077784,2.0,0.0,0.427512258826189,3.0000000000000036,0,1.0229344394312934,0.0,16.370083244527006
 0.15003955712976577,2.0337678030555444,2.0,0.0,0.4501186713892975,3.0,0,1.1462907246040293,0.0,17.344844931075095
 0.15755079719869453,2.0372333805469163,2.0,0.0,0.47265239159608374,2.9999999999999964,0,1.2765720188396763,0.0,18.32242380493805
 0.16503811065855198,2.0408563669546167,2.0,0.0,0.49511433197565613,3.0000000000000036,0,1.4137577492116016,0.0,19.302743906259234
 0.172501738834459,2.044635274851368,2.0,0.0,0.5175052165033771,2.9999999999999925,0,1.5578262525026754,0.0,20.285724783160443
 0.17994187359605998,2.0485686168098907,2.0,0.0,0.5398256207881801,3.0,0,1.7087547786261381,0.0,21.271282268429367
 0.1873586674499078,2.0526549054029077,2.0,0.0,0.5620760023497235,2.9999999999999964,0,1.8665194942180874,0.0,22.259329089301495
 0.1947522412419445,2.056892653203141,2.0,0.0,0.5842567237258337,3.0000000000000075,0,2.031095486401067,0.0,23.249775351002693
 0.20212269010564218,2.061280372783312,2.0,0.0,0.6063680703169267,3.0000000000000036,0,2.202456766718091,0.0,24.242528924030488
 0.2094700881051082,2.0658165767161427,2.0,0.0,0.6284102643153249,3.0000000000000115,0,2.3805762752365096,0.0,25.237495757203053
 0.21679449189552127,2.070499777574356,2.0,0.0,0.6503834756865641,2.999999999999996,0,2.5654258848211016,0.0,26.23458013312807
 0.22409594363526847,2.075328487930672,2.0,0.0,0.6722878309058056,2.9999999999999885,0,2.7569764055756667,0.0,27.233684878381297
 0.23137447332238215,2.0803012203578146,2.0,0.0,0.6941234199671467,3.0000000000000075,0,2.955197589452464,0.0,28.23471153811515
 0.23863010068374818,2.0854164874285037,2.0,0.0,0.7158903020512448,3.0000000000000075,0,3.1600581350286894,0.0,29.237560522178114
 0.2458628367138385,2.0906728017154634,2.0,0.0,0.7375885101415157,2.999999999999996,0,3.371525692449393,0.0,30.242131228601483
 0.25307268493644763,2.0960686757914138,2.0,0.0,0.7592180548093431,2.999999999999996,0,3.589566868535838,0.0,31.24832214862026
 0.2602596424458701,2.1016026222290782,2.0,0.0,0.7807789273376105,3.0,0,3.814147232058716,0.0,32.256030956951705
 0.26742370077111427,2.1072731536011777,2.0,0.0,0.8022711023133431,3.0000000000000075,0,4.0452313191752,0.0,33.26515458982146
 0.2745648465972219,2.113078782480434,2.0,0.0,0.823694539791666,2.999999999999992,0,4.282782639029129,0.0,34.27558931308584
 0.28168306237042334,2.1190180214395697,2.0,0.0,0.8450491871112703,3.000000000000008,0,4.526763679513311,0.0,35.28723078213558
 0.2887783268083054,2.1250893830513067,2.0,0.0,0.8663349804249164,2.999999999999992,0,4.777135913193135,0.0,36.2999740949622
 0.2958506153318666,2.131291379888366,2.0,0.0,0.8875518459955999,2.999999999999992,0,5.033859803390504,0.0,37.313713839545265
 0.3028999004329877,2.137622524523471,2.0,0.0,0.9086997012989632,2.9999999999999845,0,5.296894810427108,0.0,38.3283441365409
